id_unidad,nivel
127,INICIAL EN FAMILIA COMUNITARIA
127,PRIMARIA COMUNITARIA VOCACIONAL
128,SECUNDARIA COMUNITARIA PRODUCTIVA
129,INICIAL EN FAMILIA COMUNITARIA
129,PRIMARIA COMUNITARIA VOCACIONAL
129,SECUNDARIA COMUNITARIA PRODUCTIVA
130,INICIAL EN FAMILIA COMUNITARIA
130,PRIMARIA COMUNITARIA VOCACIONAL
130,SECUNDARIA COMUNITARIA PRODUCTIVA
131,INICIAL EN FAMILIA COMUNITARIA
131,PRIMARIA COMUNITARIA VOCACIONAL
131,SECUNDARIA COMUNITARIA PRODUCTIVA
132,INICIAL EN FAMILIA COMUNITARIA
132,PRIMARIA COMUNITARIA VOCACIONAL
133,INICIAL EN FAMILIA COMUNITARIA
133,PRIMARIA COMUNITARIA VOCACIONAL
134,PRIMARIA COMUNITARIA VOCACIONAL
134,SECUNDARIA COMUNITARIA PRODUCTIVA
135,SECUNDARIA COMUNITARIA PRODUCTIVA
136,SECUNDARIA COMUNITARIA PRODUCTIVA
137,PRIMARIA COMUNITARIA VOCACIONAL
138,INICIAL EN FAMILIA COMUNITARIA
139,SECUNDARIA COMUNITARIA PRODUCTIVA
140,INICIAL EN FAMILIA COMUNITARIA
140,PRIMARIA COMUNITARIA VOCACIONAL
141,INICIAL EN FAMILIA COMUNITARIA
141,PRIMARIA COMUNITARIA VOCACIONAL
141,SECUNDARIA COMUNITARIA PRODUCTIVA
142,INICIAL EN FAMILIA COMUNITARIA
142,PRIMARIA COMUNITARIA VOCACIONAL
143,INICIAL EN FAMILIA COMUNITARIA
143,PRIMARIA COMUNITARIA VOCACIONAL
143,SECUNDARIA COMUNITARIA PRODUCTIVA
144,INICIAL EN FAMILIA COMUNITARIA
144,PRIMARIA COMUNITARIA VOCACIONAL
144,SECUNDARIA COMUNITARIA PRODUCTIVA
145,INICIAL EN FAMILIA COMUNITARIA
145,PRIMARIA COMUNITARIA VOCACIONAL
146,SECUNDARIA COMUNITARIA PRODUCTIVA
147,INICIAL EN FAMILIA COMUNITARIA
147,PRIMARIA COMUNITARIA VOCACIONAL
148,SECUNDARIA COMUNITARIA PRODUCTIVA
149,INICIAL EN FAMILIA COMUNITARIA
149,PRIMARIA COMUNITARIA VOCACIONAL
149,SECUNDARIA COMUNITARIA PRODUCTIVA
150,INICIAL EN FAMILIA COMUNITARIA
150,PRIMARIA COMUNITARIA VOCACIONAL
151,INICIAL EN FAMILIA COMUNITARIA
151,PRIMARIA COMUNITARIA VOCACIONAL
151,SECUNDARIA COMUNITARIA PRODUCTIVA
152,INICIAL EN FAMILIA COMUNITARIA
152,PRIMARIA COMUNITARIA VOCACIONAL
152,SECUNDARIA COMUNITARIA PRODUCTIVA
153,PRIMARIA COMUNITARIA VOCACIONAL
154,SECUNDARIA COMUNITARIA PRODUCTIVA
155,INICIAL EN FAMILIA COMUNITARIA
155,PRIMARIA COMUNITARIA VOCACIONAL
156,INICIAL EN FAMILIA COMUNITARIA
156,PRIMARIA COMUNITARIA VOCACIONAL
157,SECUNDARIA COMUNITARIA PRODUCTIVA
158,SECUNDARIA COMUNITARIA PRODUCTIVA
159,INICIAL EN FAMILIA COMUNITARIA
159,PRIMARIA COMUNITARIA VOCACIONAL
159,SECUNDARIA COMUNITARIA PRODUCTIVA
160,INICIAL EN FAMILIA COMUNITARIA
160,PRIMARIA COMUNITARIA VOCACIONAL
160,SECUNDARIA COMUNITARIA PRODUCTIVA
161,SECUNDARIA COMUNITARIA PRODUCTIVA
162,INICIAL EN FAMILIA COMUNITARIA
162,PRIMARIA COMUNITARIA VOCACIONAL
163,INICIAL EN FAMILIA COMUNITARIA
163,PRIMARIA COMUNITARIA VOCACIONAL
163,SECUNDARIA COMUNITARIA PRODUCTIVA
164,SECUNDARIA COMUNITARIA PRODUCTIVA
165,INICIAL EN FAMILIA COMUNITARIA
165,PRIMARIA COMUNITARIA VOCACIONAL
166,INICIAL EN FAMILIA COMUNITARIA
166,PRIMARIA COMUNITARIA VOCACIONAL
166,SECUNDARIA COMUNITARIA PRODUCTIVA
167,PRIMARIA COMUNITARIA VOCACIONAL
167,SECUNDARIA COMUNITARIA PRODUCTIVA
168,INICIAL EN FAMILIA COMUNITARIA
168,PRIMARIA COMUNITARIA VOCACIONAL
169,INICIAL EN FAMILIA COMUNITARIA
169,PRIMARIA COMUNITARIA VOCACIONAL
169,SECUNDARIA COMUNITARIA PRODUCTIVA
170,INICIAL EN FAMILIA COMUNITARIA
170,PRIMARIA COMUNITARIA VOCACIONAL
170,SECUNDARIA COMUNITARIA PRODUCTIVA
171,INICIAL EN FAMILIA COMUNITARIA
171,PRIMARIA COMUNITARIA VOCACIONAL
172,INICIAL EN FAMILIA COMUNITARIA
172,PRIMARIA COMUNITARIA VOCACIONAL
172,SECUNDARIA COMUNITARIA PRODUCTIVA
173,INICIAL EN FAMILIA COMUNITARIA
173,PRIMARIA COMUNITARIA VOCACIONAL
174,INICIAL EN FAMILIA COMUNITARIA
174,PRIMARIA COMUNITARIA VOCACIONAL
175,INICIAL EN FAMILIA COMUNITARIA
175,PRIMARIA COMUNITARIA VOCACIONAL
175,SECUNDARIA COMUNITARIA PRODUCTIVA
176,INICIAL EN FAMILIA COMUNITARIA
176,PRIMARIA COMUNITARIA VOCACIONAL
176,SECUNDARIA COMUNITARIA PRODUCTIVA
177,INICIAL EN FAMILIA COMUNITARIA
177,PRIMARIA COMUNITARIA VOCACIONAL
177,SECUNDARIA COMUNITARIA PRODUCTIVA
178,INICIAL EN FAMILIA COMUNITARIA
178,PRIMARIA COMUNITARIA VOCACIONAL
178,SECUNDARIA COMUNITARIA PRODUCTIVA
179,INICIAL EN FAMILIA COMUNITARIA
179,PRIMARIA COMUNITARIA VOCACIONAL
179,SECUNDARIA COMUNITARIA PRODUCTIVA
180,INICIAL EN FAMILIA COMUNITARIA
180,PRIMARIA COMUNITARIA VOCACIONAL
180,SECUNDARIA COMUNITARIA PRODUCTIVA
