id_unidad,nombre_unidad,dependencia,tipo,zona,direccion,latitud,longitud,telefono_fijo,telefono_celular,distrito
259,BOLIVIANO JAPONES A,FISCAL,EDUCACIÓN REGULAR,URBANIZACIO CRISTAL II,CALLE BATALLÓN SUCRE S/N,-16.60239983,-68.19861603,,,8.0
260,BOLIVIANO JAPONES B,FISCAL,EDUCACIÓN REGULAR,URBANIZACIO CRISTAL II,CALLE BATALLÓN SUCRE S/N,-16.60239983,-68.19861603,,,8.0
261,COPACABANA I,FISCAL,EDUCACIÓN REGULAR,URBANIZACION COPACABANA,AVENIDA GRAN CHACO S/N,-16.60440063,-68.2052536,,,8.0
262,CATOLICO MERCEDES A,FISCAL,EDUCACIÓN REGULAR,VILLA MERCEDES C,AV. ACHIRI S/N,-16.56539917,-68.21594238,,,8.0
263,CATOLICO MERCEDES B,FISCAL,EDUCACIÓN REGULAR,VILLA MERCEDES C,AV. ACHIRI S/N,-16.56539917,-68.21594238,,,8.0
264,ALONZO DE MENDOZA,FISCAL,EDUCACIÓN REGULAR,URBANIZACION ALONZO DE MENDOZA,AV. ALONZO DE SAYA S/N,-16.61650085,-68.17596436,,,8.0
265,AVELINO SIÑANI,CONVENIO,EDUCACIÓN REGULAR,14 DE SEPTIEMBRE - VENTILLA,CALLE APOLO S/N,-16.60950089,-68.17599487,,,8.0
266,17 DE OCTUBRE,FISCAL,EDUCACIÓN REGULAR,URBANIZACION UNIFICADA 23 DE ENERO,AV. LITORAL S/N,-16.59519958,-68.17852783,,,8.0
267,BOLIVIANO AMERICANO - A,FISCAL,EDUCACIÓN REGULAR,URBANIZACION FABRIL JUNTU HUMA SECTOR I Y II,AVENIDA INTEGRACION S/N,-16.59732271,-68.17757291,,,8.0
268,BOLIVIANO AMERICANO - B,FISCAL,EDUCACIÓN REGULAR,URBANIZACION FABRIL JUNTU HUMA SECTOR I Y II,AVENIDA INTEGRACION S/N,-16.59732271,-68.17757291,,,8.0
269,JARDINES B,FISCAL,EDUCACIÓN REGULAR,URBANIZACION LOS JARDINES,CALLE 4 S/N,-16.62199974,-68.17702484,,,8.0
270,JARDINES A,FISCAL,EDUCACIÓN REGULAR,URBANIZACION LOS JARDINES,CALLE 4 S/N,-16.62199974,-68.17702484,,,8.0
271,24 DE JULIO A,FISCAL,EDUCACIÓN REGULAR,URBANIZACION CHIJIMARCA,AV. TRONCAL S/N Y AV. INCAHUASI,-16.58790016,-68.19558716,,,8.0
272,24 DE JULIO B,FISCAL,EDUCACIÓN REGULAR,URBANIZACION CHIJIMARCA,AV. TRONCAL S/N Y AV. INCAHUASI,-16.58790016,-68.19558716,,,8.0
273,SAN AGUSTIN A,FISCAL,EDUCACIÓN REGULAR,VILLA MERCEDES U.V. D,AV. CRISTO REDENTOR S/N,-16.57102825,-68.21746489,,,8.0
274,SAN AGUSTIN B,FISCAL,EDUCACIÓN REGULAR,VILLA MERCEDES U.V. D,AV. CRISTO REDENTOR S/N,-16.57102825,-68.21746489,,,8.0
275,ARCO IRIS,FISCAL,EDUCACIÓN REGULAR,URBANIZACION ARCO IRIS POTOSI,CALLES LOS CLAVELES S/N,-16.60610008,-68.17269897,,,8.0
276,15 DE ABRIL,FISCAL,EDUCACIÓN REGULAR,"URBANIZACION VILLA MERCEDES UNIDAD VECINAL ""E""",AVENIDA 1ERO. DE MAYO S/N,-16.5678997,-68.21192169,,,8.0
277,24 DE SEPTIEMBRE,FISCAL,EDUCACIÓN REGULAR,"URBANIZACION VILLA MERCEDES UNIDAD VECINAL ""I",CALLE INCA HUASCAR S/N,-16.55979919,-68.20291901,,,8.0
278,JARDINES DEL SUR,FISCAL,EDUCACIÓN REGULAR,JARDIN MAXIMA,CALLE GIRASOL S/N,-16.61590004,-68.19595337,,,8.0
279,ECOLOGICO BADEN POWELL,FISCAL,EDUCACIÓN REGULAR,URBANIZACION VILLA MERCEDES B,CALLE JOSE ANTONIO ARCE S/N,-16.56334031,-68.20921779,,,8.0
280,ATIPIRIS TARDE,FISCAL,EDUCACIÓN REGULAR,ATIPIRIS,CALLE GABRIEL ANTONIO CASTRO S/N,-16.5909996,-68.17848969,,,8.0
281,ATIPIRIS MAÑANA,FISCAL,EDUCACIÓN REGULAR,ATIPIRIS,CALLE GABRIEL ANTONIO CASTRO S/N,-16.5909996,-68.17848969,,,8.0
282,PILOTO INTERVIDA DE FE Y ALEGRIA,CONVENIO,EDUCACIÓN REGULAR,ROSAS PAMPA,AVENIDA 6 DE MARZO N° 377,-16.54990005,-68.17915344,,,2.0
283,JESUS MARIA FE Y ALEGRIA,CONVENIO,EDUCACIÓN REGULAR,GERMAN BUSCH,CALLE SERGIO SUAREZ Nro 12 Y AV. ESCOMA,-16.46800041,-68.18724823,,,5.0
